,roduct code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
0,IDCJAC0011,65070,1993,1,1,,,
1,IDCJAC0011,65070,1993,1,2,,,
2,IDCJAC0011,65070,1993,1,3,,,
3,IDCJAC0011,65070,1993,1,4,,,
4,IDCJAC0011,65070,1993,1,5,,,
5,IDCJAC0011,65070,1993,1,6,,,
6,IDCJAC0011,65070,1993,1,7,,,
7,IDCJAC0011,65070,1993,1,8,,,
8,IDCJAC0011,65070,1993,1,9,,,
9,IDCJAC0011,65070,1993,1,10,,,
10,IDCJAC0011,65070,1993,1,11,,,
11,IDCJAC0011,65070,1993,1,12,,,
12,IDCJAC0011,65070,1993,1,13,,,
13,IDCJAC0011,65070,1993,1,14,,,
14,IDCJAC0011,65070,1993,1,15,,,
15,IDCJAC0011,65070,1993,1,16,22.6,1.0,N
16,IDCJAC0011,65070,1993,1,17,20.2,1.0,Y
17,IDCJAC0011,65070,1993,1,18,19.1,1.0,Y
18,IDCJAC0011,65070,1993,1,19,19.2,1.0,Y
19,IDCJAC0011,65070,1993,1,20,21.0,1.0,Y
20,IDCJAC0011,65070,1993,1,21,21.3,1.0,Y
21,IDCJAC0011,65070,1993,1,22,20.5,1.0,Y
22,IDCJAC0011,65070,1993,1,23,19.6,1.0,Y
23,IDCJAC0011,65070,1993,1,24,21.0,1.0,Y
24,IDCJAC0011,65070,1993,1,25,21.1,1.0,Y
25,IDCJAC0011,65070,1993,1,26,,,
26,IDCJAC0011,65070,1993,1,27,,,
27,IDCJAC0011,65070,1993,1,28,,,
28,IDCJAC0011,65070,1993,1,29,18.8,1.0,N
29,IDCJAC0011,65070,1993,1,30,20.2,1.0,Y
30,IDCJAC0011,65070,1993,1,31,19.5,1.0,Y
31,IDCJAC0011,65070,1993,2,1,18.9,1.0,Y
32,IDCJAC0011,65070,1993,2,2,18.7,1.0,Y
33,IDCJAC0011,65070,1993,2,3,21.7,1.0,Y
34,IDCJAC0011,65070,1993,2,4,21.1,1.0,Y
35,IDCJAC0011,65070,1993,2,5,22.1,1.0,Y
36,IDCJAC0011,65070,1993,2,6,18.3,1.0,Y
37,IDCJAC0011,65070,1993,2,7,17.2,1.0,Y
38,IDCJAC0011,65070,1993,2,8,18.2,1.0,Y
39,IDCJAC0011,65070,1993,2,9,20.1,1.0,Y
40,IDCJAC0011,65070,1993,2,10,17.6,1.0,Y
41,IDCJAC0011,65070,1993,2,11,18.0,1.0,Y
42,IDCJAC0011,65070,1993,2,12,19.5,1.0,Y
43,IDCJAC0011,65070,1993,2,13,18.9,1.0,Y
44,IDCJAC0011,65070,1993,2,14,17.5,1.0,Y
45,IDCJAC0011,65070,1993,2,15,14.1,1.0,Y
46,IDCJAC0011,65070,1993,2,16,18.0,1.0,Y
47,IDCJAC0011,65070,1993,2,17,19.3,1.0,Y
48,IDCJAC0011,65070,1993,2,18,16.5,1.0,Y
49,IDCJAC0011,65070,1993,2,19,14.2,1.0,Y
50,IDCJAC0011,65070,1993,2,20,16.3,1.0,Y
51,IDCJAC0011,65070,1993,2,21,16.4,1.0,Y
52,IDCJAC0011,65070,1993,2,22,8.7,1.0,Y
53,IDCJAC0011,65070,1993,2,23,6.3,1.0,Y
54,IDCJAC0011,65070,1993,2,24,8.8,1.0,Y
55,IDCJAC0011,65070,1993,2,25,11.9,1.0,Y
56,IDCJAC0011,65070,1993,2,26,13.2,1.0,Y
57,IDCJAC0011,65070,1993,2,27,13.9,1.0,Y
58,IDCJAC0011,65070,1993,2,28,9.8,1.0,Y
59,IDCJAC0011,65070,1993,3,1,9.1,1.0,Y
60,IDCJAC0011,65070,1993,3,2,8.4,1.0,Y
61,IDCJAC0011,65070,1993,3,3,6.7,1.0,Y
62,IDCJAC0011,65070,1993,3,4,12.2,1.0,Y
63,IDCJAC0011,65070,1993,3,5,13.5,1.0,Y
64,IDCJAC0011,65070,1993,3,6,16.5,1.0,Y
65,IDCJAC0011,65070,1993,3,7,17.5,1.0,Y
66,IDCJAC0011,65070,1993,3,8,14.1,1.0,Y
67,IDCJAC0011,65070,1993,3,9,14.5,1.0,Y
68,IDCJAC0011,65070,1993,3,10,11.2,1.0,Y
69,IDCJAC0011,65070,1993,3,11,12.5,1.0,Y
