,Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
0,IDCJAC0011,94029,1882,1,1,,,
1,IDCJAC0011,94029,1882,1,2,,,
2,IDCJAC0011,94029,1882,1,3,,,
3,IDCJAC0011,94029,1882,1,4,,,
4,IDCJAC0011,94029,1882,1,5,,,
5,IDCJAC0011,94029,1882,1,6,,,
6,IDCJAC0011,94029,1882,1,7,,,
7,IDCJAC0011,94029,1882,1,8,,,
8,IDCJAC0011,94029,1882,1,9,,,
9,IDCJAC0011,94029,1882,1,10,,,
10,IDCJAC0011,94029,1882,1,11,,,
11,IDCJAC0011,94029,1882,1,12,,,
12,IDCJAC0011,94029,1882,1,13,,,
13,IDCJAC0011,94029,1882,1,14,,,
14,IDCJAC0011,94029,1882,1,15,,,
15,IDCJAC0011,94029,1882,1,16,,,
16,IDCJAC0011,94029,1882,1,17,,,
17,IDCJAC0011,94029,1882,1,18,,,
18,IDCJAC0011,94029,1882,1,19,,,
19,IDCJAC0011,94029,1882,1,20,,,
20,IDCJAC0011,94029,1882,1,21,,,
21,IDCJAC0011,94029,1882,1,22,,,
22,IDCJAC0011,94029,1882,1,23,,,
23,IDCJAC0011,94029,1882,1,24,,,
24,IDCJAC0011,94029,1882,1,25,,,
25,IDCJAC0011,94029,1882,1,26,,,
26,IDCJAC0011,94029,1882,1,27,,,
27,IDCJAC0011,94029,1882,1,28,,,
28,IDCJAC0011,94029,1882,1,29,,,
29,IDCJAC0011,94029,1882,1,30,,,
30,IDCJAC0011,94029,1882,1,31,,,
31,IDCJAC0011,94029,1882,2,1,,,
32,IDCJAC0011,94029,1882,2,2,,,
33,IDCJAC0011,94029,1882,2,3,,,
34,IDCJAC0011,94029,1882,2,4,,,
35,IDCJAC0011,94029,1882,2,5,,,
36,IDCJAC0011,94029,1882,2,6,,,
37,IDCJAC0011,94029,1882,2,7,,,
38,IDCJAC0011,94029,1882,2,8,,,
39,IDCJAC0011,94029,1882,2,9,,,
40,IDCJAC0011,94029,1882,2,10,,,
41,IDCJAC0011,94029,1882,2,11,,,
42,IDCJAC0011,94029,1882,2,12,,,
43,IDCJAC0011,94029,1882,2,13,,,
44,IDCJAC0011,94029,1882,2,14,,,
45,IDCJAC0011,94029,1882,2,15,,,
46,IDCJAC0011,94029,1882,2,16,,,
47,IDCJAC0011,94029,1882,2,17,,,
48,IDCJAC0011,94029,1882,2,18,,,
49,IDCJAC0011,94029,1882,2,19,,,
50,IDCJAC0011,94029,1882,2,20,,,
51,IDCJAC0011,94029,1882,2,21,,,
52,IDCJAC0011,94029,1882,2,22,,,
53,IDCJAC0011,94029,1882,2,23,,,
54,IDCJAC0011,94029,1882,2,24,,,
55,IDCJAC0011,94029,1882,2,25,,,
56,IDCJAC0011,94029,1882,2,26,,,
57,IDCJAC0011,94029,1882,2,27,,,
58,IDCJAC0011,94029,1882,2,28,,,
59,IDCJAC0011,94029,1882,3,1,,,
60,IDCJAC0011,94029,1882,3,2,,,
61,IDCJAC0011,94029,1882,3,3,,,
62,IDCJAC0011,94029,1882,3,4,,,
63,IDCJAC0011,94029,1882,3,5,,,
64,IDCJAC0011,94029,1882,3,6,,,
65,IDCJAC0011,94029,1882,3,7,,,
66,IDCJAC0011,94029,1882,3,8,,,
67,IDCJAC0011,94029,1882,3,9,,,
68,IDCJAC0011,94029,1882,3,10,,,
69,IDCJAC0011,94029,1882,3,11,,,
70,IDCJAC0011,94029,1882,3,12,,,
71,IDCJAC0011,94029,1882,3,13,,,
72,IDCJAC0011,94029,1882,3,14,,,
73,IDCJAC0011,94029,1882,3,15,,,
74,IDCJAC0011,94029,1882,3,16,,,
75,IDCJAC0011,94029,1882,3,17,,,
76,IDCJAC0011,94029,1882,3,18,,,
77,IDCJAC0011,94029,1882,3,19,,,
78,IDCJAC0011,94029,1882,3,20,,,
79,IDCJAC0011,94029,1882,3,21,,,
80,IDCJAC0011,94029,1882,3,22,,,
81,IDCJAC0011,94029,1882,3,23,,,
82,IDCJAC0011,94029,1882,3,24,,,
83,IDCJAC0011,94029,1882,3,25,,,
84,IDCJAC0011,94029,1882,3,26,,,
85,IDCJAC0011,94029,1882,3,27,,,
86,IDCJAC0011,94029,1882,3,28,,,
87,IDCJAC0011,94029,1882,3,29,,,
88,IDCJAC0011,94029,1882,3,30,,,
89,IDCJAC0011,94029,1882,3,31,,,
90,IDCJAC0011,94029,1882,4,1,10.0,1.0,N
91,IDCJAC0011,94029,1882,4,2,6.7,1.0,Y
92,IDCJAC0011,94029,1882,4,3,6.7,1.0,Y
93,IDCJAC0011,94029,1882,4,4,7.2,1.0,Y
94,IDCJAC0011,94029,1882,4,5,3.9,1.0,Y
95,IDCJAC0011,94029,1882,4,6,3.9,1.0,Y
96,IDCJAC0011,94029,1882,4,7,2.8,1.0,Y
97,IDCJAC0011,94029,1882,4,8,8.3,1.0,Y
98,IDCJAC0011,94029,1882,4,9,6.1,1.0,Y
99,IDCJAC0011,94029,1882,4,10,8.3,1.0,Y
100,IDCJAC0011,94029,1882,4,11,9.4,1.0,Y
101,IDCJAC0011,94029,1882,4,12,11.7,1.0,Y
102,IDCJAC0011,94029,1882,4,13,6.7,1.0,Y
103,IDCJAC0011,94029,1882,4,14,9.6,1.0,Y
104,IDCJAC0011,94029,1882,4,15,7.8,1.0,Y
105,IDCJAC0011,94029,1882,4,16,8.3,1.0,Y
106,IDCJAC0011,94029,1882,4,17,4.4,1.0,Y
107,IDCJAC0011,94029,1882,4,18,9.4,1.0,Y
108,IDCJAC0011,94029,1882,4,19,8.3,1.0,Y
109,IDCJAC0011,94029,1882,4,20,7.8,1.0,Y
110,IDCJAC0011,94029,1882,4,21,8.3,1.0,Y
111,IDCJAC0011,94029,1882,4,22,7.8,1.0,Y
112,IDCJAC0011,94029,1882,4,23,9.2,1.0,Y
113,IDCJAC0011,94029,1882,4,24,9.8,1.0,Y
114,IDCJAC0011,94029,1882,4,25,6.1,1.0,Y
115,IDCJAC0011,94029,1882,4,26,8.9,1.0,Y
116,IDCJAC0011,94029,1882,4,27,5.0,1.0,Y
117,IDCJAC0011,94029,1882,4,28,3.9,1.0,Y
118,IDCJAC0011,94029,1882,4,29,4.2,1.0,Y
119,IDCJAC0011,94029,1882,4,30,4.4,1.0,Y
120,IDCJAC0011,94029,1882,5,1,2.8,1.0,Y
121,IDCJAC0011,94029,1882,5,2,5.8,1.0,Y
122,IDCJAC0011,94029,1882,5,3,8.3,1.0,Y
123,IDCJAC0011,94029,1882,5,4,7.0,1.0,Y
124,IDCJAC0011,94029,1882,5,5,5.8,1.0,Y
125,IDCJAC0011,94029,1882,5,6,8.6,1.0,Y
126,IDCJAC0011,94029,1882,5,7,6.7,1.0,Y
127,IDCJAC0011,94029,1882,5,8,4.4,1.0,Y
128,IDCJAC0011,94029,1882,5,9,4.4,1.0,Y
129,IDCJAC0011,94029,1882,5,10,4.2,1.0,Y
130,IDCJAC0011,94029,1882,5,11,3.6,1.0,Y
131,IDCJAC0011,94029,1882,5,12,9.2,1.0,Y
132,IDCJAC0011,94029,1882,5,13,5.0,1.0,Y
133,IDCJAC0011,94029,1882,5,14,5.8,1.0,Y
134,IDCJAC0011,94029,1882,5,15,4.4,1.0,Y
