,roduct code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
0,IDCJAC0010,91237,1980,1,1,,,
1,IDCJAC0010,91237,1980,1,2,,,
2,IDCJAC0010,91237,1980,1,3,,,
3,IDCJAC0010,91237,1980,1,4,,,
4,IDCJAC0010,91237,1980,1,5,,,
5,IDCJAC0010,91237,1980,1,6,,,
6,IDCJAC0010,91237,1980,1,7,,,
7,IDCJAC0010,91237,1980,1,8,,,
8,IDCJAC0010,91237,1980,1,9,,,
9,IDCJAC0010,91237,1980,1,10,,,
10,IDCJAC0010,91237,1980,1,11,,,
11,IDCJAC0010,91237,1980,1,12,,,
12,IDCJAC0010,91237,1980,1,13,,,
13,IDCJAC0010,91237,1980,1,14,,,
14,IDCJAC0010,91237,1980,1,15,,,
15,IDCJAC0010,91237,1980,1,16,,,
16,IDCJAC0010,91237,1980,1,17,,,
17,IDCJAC0010,91237,1980,1,18,,,
18,IDCJAC0010,91237,1980,1,19,,,
19,IDCJAC0010,91237,1980,1,20,,,
20,IDCJAC0010,91237,1980,1,21,,,
21,IDCJAC0010,91237,1980,1,22,,,
22,IDCJAC0010,91237,1980,1,23,,,
23,IDCJAC0010,91237,1980,1,24,,,
24,IDCJAC0010,91237,1980,1,25,,,
25,IDCJAC0010,91237,1980,1,26,,,
26,IDCJAC0010,91237,1980,1,27,,,
27,IDCJAC0010,91237,1980,1,28,,,
28,IDCJAC0010,91237,1980,1,29,,,
29,IDCJAC0010,91237,1980,1,30,,,
30,IDCJAC0010,91237,1980,1,31,,,
31,IDCJAC0010,91237,1980,2,1,,,
32,IDCJAC0010,91237,1980,2,2,,,
33,IDCJAC0010,91237,1980,2,3,,,
34,IDCJAC0010,91237,1980,2,4,,,
35,IDCJAC0010,91237,1980,2,5,,,
36,IDCJAC0010,91237,1980,2,6,,,
37,IDCJAC0010,91237,1980,2,7,,,
38,IDCJAC0010,91237,1980,2,8,,,
39,IDCJAC0010,91237,1980,2,9,,,
40,IDCJAC0010,91237,1980,2,10,,,
41,IDCJAC0010,91237,1980,2,11,,,
42,IDCJAC0010,91237,1980,2,12,,,
43,IDCJAC0010,91237,1980,2,13,,,
44,IDCJAC0010,91237,1980,2,14,,,
45,IDCJAC0010,91237,1980,2,15,,,
46,IDCJAC0010,91237,1980,2,16,,,
47,IDCJAC0010,91237,1980,2,17,,,
48,IDCJAC0010,91237,1980,2,18,,,
49,IDCJAC0010,91237,1980,2,19,,,
50,IDCJAC0010,91237,1980,2,20,,,
51,IDCJAC0010,91237,1980,2,21,,,
52,IDCJAC0010,91237,1980,2,22,,,
53,IDCJAC0010,91237,1980,2,23,,,
54,IDCJAC0010,91237,1980,2,24,,,
55,IDCJAC0010,91237,1980,2,25,,,
56,IDCJAC0010,91237,1980,2,26,,,
