,roduct code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
0,IDCJAC0011,18201,2001,1,1,,,
1,IDCJAC0011,18201,2001,1,2,,,
2,IDCJAC0011,18201,2001,1,3,,,
3,IDCJAC0011,18201,2001,1,4,,,
4,IDCJAC0011,18201,2001,1,5,,,
5,IDCJAC0011,18201,2001,1,6,,,
6,IDCJAC0011,18201,2001,1,7,,,
7,IDCJAC0011,18201,2001,1,8,,,
8,IDCJAC0011,18201,2001,1,9,,,
9,IDCJAC0011,18201,2001,1,10,,,
10,IDCJAC0011,18201,2001,1,11,,,
11,IDCJAC0011,18201,2001,1,12,,,
12,IDCJAC0011,18201,2001,1,13,,,
13,IDCJAC0011,18201,2001,1,14,,,
14,IDCJAC0011,18201,2001,1,15,,,
15,IDCJAC0011,18201,2001,1,16,,,
16,IDCJAC0011,18201,2001,1,17,,,
17,IDCJAC0011,18201,2001,1,18,,,
18,IDCJAC0011,18201,2001,1,19,,,
19,IDCJAC0011,18201,2001,1,20,,,
20,IDCJAC0011,18201,2001,1,21,,,
21,IDCJAC0011,18201,2001,1,22,,,
22,IDCJAC0011,18201,2001,1,23,,,
23,IDCJAC0011,18201,2001,1,24,,,
24,IDCJAC0011,18201,2001,1,25,,,
25,IDCJAC0011,18201,2001,1,26,,,
26,IDCJAC0011,18201,2001,1,27,,,
27,IDCJAC0011,18201,2001,1,28,,,
28,IDCJAC0011,18201,2001,1,29,,,
29,IDCJAC0011,18201,2001,1,30,,,
30,IDCJAC0011,18201,2001,1,31,,,
31,IDCJAC0011,18201,2001,2,1,,,
32,IDCJAC0011,18201,2001,2,2,,,
33,IDCJAC0011,18201,2001,2,3,,,
34,IDCJAC0011,18201,2001,2,4,,,
35,IDCJAC0011,18201,2001,2,5,,,
36,IDCJAC0011,18201,2001,2,6,,,
37,IDCJAC0011,18201,2001,2,7,,,
38,IDCJAC0011,18201,2001,2,8,,,
39,IDCJAC0011,18201,2001,2,9,,,
40,IDCJAC0011,18201,2001,2,10,,,
41,IDCJAC0011,18201,2001,2,11,,,
42,IDCJAC0011,18201,2001,2,12,,,
43,IDCJAC0011,18201,2001,2,13,,,
44,IDCJAC0011,18201,2001,2,14,,,
45,IDCJAC0011,18201,2001,2,15,,,
46,IDCJAC0011,18201,2001,2,16,,,
47,IDCJAC0011,18201,2001,2,17,,,
48,IDCJAC0011,18201,2001,2,18,,,
49,IDCJAC0011,18201,2001,2,19,,,
50,IDCJAC0011,18201,2001,2,20,,,
51,IDCJAC0011,18201,2001,2,21,,,
52,IDCJAC0011,18201,2001,2,22,,,
53,IDCJAC0011,18201,2001,2,23,,,
54,IDCJAC0011,18201,2001,2,24,,,
55,IDCJAC0011,18201,2001,2,25,,,
56,IDCJAC0011,18201,2001,2,26,,,
57,IDCJAC0011,18201,2001,2,27,,,
58,IDCJAC0011,18201,2001,2,28,,,
59,IDCJAC0011,18201,2001,3,1,,,
60,IDCJAC0011,18201,2001,3,2,,,
61,IDCJAC0011,18201,2001,3,3,,,
62,IDCJAC0011,18201,2001,3,4,,,
63,IDCJAC0011,18201,2001,3,5,,,
64,IDCJAC0011,18201,2001,3,6,,,
65,IDCJAC0011,18201,2001,3,7,,,
66,IDCJAC0011,18201,2001,3,8,,,
67,IDCJAC0011,18201,2001,3,9,,,
68,IDCJAC0011,18201,2001,3,10,,,
69,IDCJAC0011,18201,2001,3,11,,,
70,IDCJAC0011,18201,2001,3,12,,,
71,IDCJAC0011,18201,2001,3,13,,,
72,IDCJAC0011,18201,2001,3,14,,,
73,IDCJAC0011,18201,2001,3,15,,,
74,IDCJAC0011,18201,2001,3,16,,,
75,IDCJAC0011,18201,2001,3,17,,,
76,IDCJAC0011,18201,2001,3,18,,,
77,IDCJAC0011,18201,2001,3,19,,,
78,IDCJAC0011,18201,2001,3,20,,,
79,IDCJAC0011,18201,2001,3,21,,,
80,IDCJAC0011,18201,2001,3,22,,,
81,IDCJAC0011,18201,2001,3,23,,,
82,IDCJAC0011,18201,2001,3,24,,,
83,IDCJAC0011,18201,2001,3,25,,,
84,IDCJAC0011,18201,2001,3,26,,,
85,IDCJAC0011,18201,2001,3,27,,,
86,IDCJAC0011,18201,2001,3,28,,,
87,IDCJAC0011,18201,2001,3,29,,,
88,IDCJAC0011,18201,2001,3,30,,,
89,IDCJAC0011,18201,2001,3,31,,,
90,IDCJAC0011,18201,2001,4,1,,,
91,IDCJAC0011,18201,2001,4,2,,,
92,IDCJAC0011,18201,2001,4,3,,,
93,IDCJAC0011,18201,2001,4,4,,,
94,IDCJAC0011,18201,2001,4,5,,,
95,IDCJAC0011,18201,2001,4,6,,,
96,IDCJAC0011,18201,2001,4,7,,,
97,IDCJAC0011,18201,2001,4,8,,,
98,IDCJAC0011,18201,2001,4,9,,,
99,IDCJAC0011,18201,2001,4,10,,,
100,IDCJAC0011,18201,2001,4,11,,,
101,IDCJAC0011,18201,2001,4,12,,,
102,IDCJAC0011,18201,2001,4,13,,,
103,IDCJAC0011,18201,2001,4,14,,,
104,IDCJAC0011,18201,2001,4,15,,,
105,IDCJAC0011,18201,2001,4,16,,,
106,IDCJAC0011,18201,2001,4,17,,,
107,IDCJAC0011,18201,2001,4,18,,,
108,IDCJAC0011,18201,2001,4,19,,,
109,IDCJAC0011,18201,2001,4,20,,,
110,IDCJAC0011,18201,2001,4,21,,,
111,IDCJAC0011,18201,2001,4,22,,,
112,IDCJAC0011,18201,2001,4,23,,,
113,IDCJAC0011,18201,2001,4,24,,,
114,IDCJAC0011,18201,2001,4,25,,,
115,IDCJAC0011,18201,2001,4,26,,,
116,IDCJAC0011,18201,2001,4,27,,,
117,IDCJAC0011,18201,2001,4,28,,,
118,IDCJAC0011,18201,2001,4,29,,,
119,IDCJAC0011,18201,2001,4,30,,,
120,IDCJAC0011,18201,2001,5,1,,,
121,IDCJAC0011,18201,2001,5,2,,,
122,IDCJAC0011,18201,2001,5,3,,,
123,IDCJAC0011,18201,2001,5,4,,,
124,IDCJAC0011,18201,2001,5,5,,,
125,IDCJAC0011,18201,2001,5,6,,,
126,IDCJAC0011,18201,2001,5,7,,,
127,IDCJAC0011,18201,2001,5,8,,,
128,IDCJAC0011,18201,2001,5,9,,,
